id,name,unit,default,min,max,desc
alpha,Allocation coefficient,-,0.5,0.1,0.9,Allocation coefficient
ksoil,Soil turnover rate,yr-1,0.08,0.01,0.3,Soil carbon turnover
froot,Root allocation fraction,-,0.3,0.05,0.7,Root allocation fraction
